cluster_id,time,sat_name,sat_lat,sat_lon,sat_height,elevation,slant,snr_dl,snr_ul,thr_dl,thr_ul,connected_users
0,2025-06-08 00:00:00,STARLINK-1433,47.573348917727444,11.23200587309104,604023.8531471156,65.79301164049876,656557.6619785391,10.9127,6.5633,112.1264397106787,0.987164113479291,0
0,2025-06-08 00:00:00,STARLINK-2084,46.396836396761785,12.4036077262086,568036.7757091403,77.36197786465114,580947.8731746608,11.9754,7.6261,122.0069879577235,1.1052869427829444,0
0,2025-06-08 00:00:00,STARLINK-1983,47.49310181393982,10.353876505299711,591897.2928137247,64.1356241167093,651342.7159253526,10.982,6.6326,112.76567270541497,0.9947188994702131,0
0,2025-06-08 00:00:00,STARLINK-3687,46.482484102249394,13.147044238207911,402312.9507515274,67.79539919245082,432408.7190934252,14.5403,10.1909,146.4008395727272,1.406878394381698,0
0,2025-06-08 00:00:00,STARLINK-31988,47.540070219684786,11.447821799551408,478999.71380633843,61.50724142782759,539509.7677053027,12.6182,8.2688,128.05623618301362,1.1788744623247356,0
0,2025-06-08 00:00:01,STARLINK-1433,47.601881469221304,11.309505632804136,604029.561600615,65.61941938479953,657370.9643476717,10.902,6.5526,112.02780924899064,0.9859995793784089,0
0,2025-06-08 00:00:01,STARLINK-2084,46.427800129620884,12.478156639688601,568042.653485396,76.80985793928112,582128.771859915,11.9578,7.6084,121.84207574908353,1.1032820475855998,0
0,2025-06-08 00:00:01,STARLINK-1983,47.521853037168846,10.431285381523034,591902.6319627478,64.11525522295095,651449.3976878831,10.9806,6.6312,112.75275141122866,0.994566063632932,0
0,2025-06-08 00:00:01,STARLINK-3687,46.514807935058585,13.224426128515947,402320.17711631506,66.93700581259947,434939.47259917296,14.4896,10.1402,145.91283012649117,1.4007330743162052,0
0,2025-06-08 00:00:01,STARLINK-31988,47.510373516595315,11.527103492121313,478992.0997117188,61.92468865417875,537574.893609277,12.6494,8.3,128.35109077456295,1.1824843629170039,0
